Star,objID,ra,dec,Flags,notes,DEBLEND_DEGENERATE,BAD_MOVING_FIT_CHILD,DEBLENDED_AT_EDGE,,,
,1237661121850901163,48.99997953,41.28751027,DEBLEND_DEGENERATE BAD_MOVING_FIT_CHILD PEAKS_TOO_CLOSE BAD_MOVING_FIT NODEBLEND_MOVING MOVED BINNED1 DEBLEND_PRUNED MANYPETRO NODEBLEND BLENDED,clearly two stars,1,1,0,,,
,1237661083199078716,49.23853032,41.35674474,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED NOTCHECKED SATURATED INTERP COSMIC_RAY MANYPETRO CHILD EDGE,,0,0,1,,,
,1237661122387837316,49.30302653,41.48337941,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLEND_NOPEAK DEBLENDED_AT_EDGE STATIONARY BINNED1 DEBLENDED_AS_PSF SATURATED INTERP COSMIC_RAY CHILD,artifact from bright star nearby https://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661122387837316,0,0,1,,,
,1237661059574203088,49.67044705,41.73750276,DEBLENDED_AT_EDGE BAD_MOVING_FIT MOVED BINNED1 SATURATED INTERP CHILD,,0,0,1,,,
,1237661060111007994,49.70929763,42.15148229,PSF_FLUX_INTERP DEBLENDED_AT_EDGE STATIONARY BINNED1 SATURATED INTERP COSMIC_RAY MANYPETRO CHILD,,0,0,1,,,
,1237661055818465980,49.72333517,41.98717204,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY MANYPETRO CHILD,,0,0,1,,,
,1237661060111008401,49.86495843,42.206252,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLEND_NOPEAK DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD,,0,0,1,,,
,1237670458048512961,49.94279041,41.87951544,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD,,0,0,1,,,
,1237661060111204440,50.21644335,41.97160453,MAYBE_CR TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLEND_NOPEAK DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD,,0,0,1,,,
,1237661059574530110,50.37838708,41.35866589,MAYBE_CR DEBLEND_NOPEAK DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 NOTCHECKED INTERP COSMIC_RAY MANYPETRO CHILD EDGE,,0,0,1,,,
,1237661059574595780,50.86433906,41.71032179,PSF_FLUX_INTERP DEBLEND_NOPEAK DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 SUBTRACTED NOTCHECKED SATURATED INTERP COSMIC_RAY NODEBLEND CHILD BLENDED EDGE,,0,0,1,,,https://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=0
Galaxy,objID,ra,dec,Flags,notes,,,,,,
,1237661083199275572,49.693181,41.03112697,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD,https://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661083199275572,0,0,1,,,
,1237670960021111926,49.4104878,41.01142476,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,https://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237670960021111926,0,0,1,,,
,1237661083199145348,49.33478789,41.25837194,"PSF_FLUX_INTERP DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY NODEBLEND CHILD BLENDED",https://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661083199145348,0,0,1,,,
,1237661122387903518,49.51836975,41.36974302,"PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP CHILD
",https://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661122387903518,0,0,1,,,
,1237661059574203219,49.64760695,41.66702696,PSF_FLUX_INTERP DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY CHILD ,https://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661059574203219,0,0,1,,,
,1237661122388034195,49.74541711,41.32087267,"DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD",https://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661122388034195,0,0,1,,,
,1237661060111009021,49.76007655,42.12256354,DEBLENDED_AT_EDGE BINNED1 CHILD,https://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661060111009021,0,0,1,,,
,1237661059574268657,49.78521268,41.58111118,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY NODEBLEND CHILD BLENDED,https://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661059574268657,0,0,1,,,
,1237661083199275822,49.78625697,41.12691382,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 SUBTRACTED INTERP COSMIC_RAY NOPETRO NODEBLEND CHILD BLENDED,https://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661083199275822,0,0,1,,,
,1237661122388099272,49.90411378,41.17102329,DEBLENDED_AT_EDGE STATIONARY BINNED1 SATURATED INTERP COSMIC_RAY NODEBLEND CHILD BLENDED,https://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661122388099272,0,0,1,,,